Submodule,Time (ms),OPs,Mem Delta (MB),Category,Effective GOPS,Time Ratio (%),OPs Ratio (%)
down_proj,11.229280000156121,106168320.0,0.04135237068965517,linear,9.454597267013018,26.01089795069904,25.461142472994503
gate_proj,11.920522206843277,106168320.0,0.05495689655172414,linear,8.906348074168378,27.612054079774605,25.461142472994503
k_proj,0.7019318617149738,9830400.0,0.0,linear,14.004778150377975,1.6259170688733857,2.3575131919439354
o_proj,2.8946785865188978,39321600.0,0.0,linear,13.584098829876528,6.705077201117969,9.430052767775742
q_proj,3.540218068745413,39321600.0,0.0,linear,11.107112397156607,8.200370006632438,9.430052767775742
up_proj,11.482416551659519,106168320.0,0.07354525862068965,linear,9.246165171098571,26.597249792371453,25.461142472994503
v_proj,0.5027693791660192,9830400.0,0.0,linear,19.552503408832123,1.1645878465976287,2.3575131919439354
