Submodule,Time (ms),OPs,Mem Delta (MB),Category,Effective GOPS,Time Ratio (%),OPs Ratio (%)
act_fn,0.13760013738145313,41472.0,0.0,nonlinear,0.30139504792086014,0.3187295295318476,0.009945758778513478
attn_sub_norm,0.15143986155604142,23040.0,0.0,nonlinear,0.1521396002562633,0.3507871194366352,0.005525421543618598
ffn_sub_norm,0.21735906896004775,62208.0,0.0,nonlinear,0.2861992384197887,0.5034788126487321,0.014918638167770216
input_layernorm,0.20228517239267038,23040.0,0.0,nonlinear,0.11389861020201415,0.4685624524432697,0.005525421543618598
post_attention_layernorm,0.19094217249999176,23040.0,0.0,nonlinear,0.12066480494245446,0.4422881398729934,0.005525421543618598
